Jane Austen         | 3 | 4.53 | 0.07 | 0.02 | 17.18 | 2.56 |
Charles Dickens     | 3 | 4.43 | 0.07 | 0.03 | 17.11 | 2.75 |
John Grisham        | 1 | 5.02 | 0.34 | 0.18 | 14.64 | 1.97 |
Stephen King        | 2 | 4.34 | 0.10 | 0.02 | 10.70 | 1.68 |
Herman Melville     | 3 | 4.66 | 0.13 | 0.04 | 21.40 | 3.43 |
William Shakespeare | 3 | 3.96 | 0.17 | 0.06 |  9.48 | 2.19 |
Mark Twain          | 4 | 4.31 | 0.10 | 0.03 | 18.48 | 2.55 |
Justin              | 1 | 4.86 | 0.48 | 0.34 | 24.55 | 3.68 |
Justin2             | 1 | 4.71 | 0.15 | 0.15 | 21.20 | 3.29 |
Justin3             | 1 | 4.86 | 0.48 | 0.34 | 24.55 | 3.68 |
Justin4             | 1 | 4.86 | 0.48 | 0.48 | 24.55 | 3.68 |
Justin5             | 1 | 4.86 | 0.48 | 0.34 | 24.55 | 3.68 |
